Marca de Tiempo, Uso de Memoria (%)
10:46:35,49.7
10:46:36,49.7
10:46:37,49.7
10:46:38,49.7
10:46:39,49.7
10:46:40,49.7
10:46:41,49.7
10:46:42,49.7
10:46:43,49.6
10:46:44,49.6
10:46:45,49.6
10:46:46,49.6
10:46:47,49.8
10:46:48,49.8
10:46:49,49.8
10:46:50,49.8
10:46:51,49.8
10:46:52,50.0
10:46:53,50.3
10:46:54,50.5
10:46:55,50.5
10:46:56,50.5
10:46:57,50.5
10:46:58,50.6
10:46:59,50.6
10:47:00,50.6
10:47:01,50.6
10:47:02,50.6
10:47:03,50.6
10:47:04,50.6
10:47:05,50.5
10:47:06,50.6
10:47:07,50.6
10:47:08,50.6
10:47:09,50.6
10:47:10,50.6
10:47:11,50.6
10:47:12,50.6
10:47:13,50.6
10:47:14,50.6
10:47:15,50.5
10:47:16,50.5
10:47:17,50.5
10:47:18,50.5
10:47:19,50.5
10:47:20,50.5
10:47:21,50.5
10:47:22,50.5
10:47:23,50.5
10:47:24,50.5
10:47:25,50.5
10:47:26,50.5
10:47:27,50.5
10:47:28,50.5
10:47:29,50.5
10:47:30,50.5
10:47:31,50.5
10:47:32,50.5
10:47:33,50.4
10:47:34,50.4
10:47:35,50.4
10:47:36,50.4
10:47:37,50.4
10:47:38,50.4
10:47:39,50.4
10:47:40,50.4
10:47:41,50.4
10:47:42,50.4
10:47:43,50.4
10:47:44,50.4
10:47:45,50.4
10:47:46,50.4
10:47:47,50.4
10:47:48,50.4
10:47:49,50.4
10:47:50,50.4
10:47:51,50.4
10:47:52,50.4
10:47:53,50.4
10:47:54,50.4
10:47:55,50.4
10:47:56,50.4
10:47:57,50.4
10:47:58,50.4
10:47:59,50.4
10:48:00,50.4
10:48:01,50.4
10:48:02,50.4
10:48:03,50.4
10:48:04,50.4
10:48:05,50.5
10:48:06,50.5
10:48:07,50.5
10:48:08,50.5
10:48:09,50.5
10:48:10,50.5
10:48:11,50.4
10:48:12,50.4
10:48:13,50.4
10:48:14,50.4
10:48:15,50.4
10:48:16,50.4
10:48:17,50.4
10:48:18,50.4
10:48:19,50.4
10:48:20,50.4
10:48:21,50.5
10:48:22,50.5
10:48:23,50.5
10:48:24,50.5
10:48:25,50.5
10:48:26,50.5
10:48:27,50.5
10:48:28,50.4
10:48:29,50.5
10:48:30,50.5
10:48:31,50.5
10:48:32,50.5
10:48:33,50.4
10:48:34,50.5
10:48:35,50.5
10:48:36,50.5
10:48:37,50.5
10:48:38,50.5
10:48:39,50.5
10:48:40,50.5
10:48:41,50.4
10:48:42,50.4
10:48:43,50.4
10:48:44,50.4
10:48:45,50.4
10:48:46,50.4
10:48:47,50.4
10:48:48,50.4
10:48:49,50.4
10:48:50,50.4
10:48:51,50.5
10:48:52,50.5
10:48:53,50.5
10:48:54,50.5
10:48:55,50.5
10:48:56,50.5
10:48:57,50.5
10:48:58,50.5
10:48:59,50.4
10:49:00,50.4
10:49:01,50.4
10:49:02,50.4
10:49:03,50.4
10:49:04,50.4
10:49:05,50.4
10:49:06,50.4
10:49:07,50.4
10:49:08,50.4
10:49:09,50.4
10:49:10,50.4
10:49:11,50.4
10:49:12,50.4
10:49:13,50.4
10:49:14,50.4
10:49:15,50.4
10:49:16,50.4
10:49:17,50.4
10:49:18,50.4
10:49:19,50.4
10:49:20,50.4
10:49:21,50.4
10:49:22,50.4
10:49:23,50.4
10:49:24,50.4
10:49:25,50.3
10:49:26,50.4
10:49:27,50.4
10:49:28,50.4
10:49:29,50.4
10:49:30,50.4
10:49:31,50.4
10:49:32,50.4
10:49:33,50.4
10:49:34,50.4
10:49:35,50.4
10:49:36,50.4
10:49:37,50.4
10:49:38,50.5
10:49:39,50.5
10:49:40,50.5
10:49:41,50.5
10:49:42,50.5
10:49:43,50.7
10:49:44,50.7
10:49:45,50.7
10:49:46,50.7
10:49:47,50.7
10:49:48,50.7
10:49:49,50.6
10:49:50,50.7
10:49:51,50.7
10:49:52,50.9
10:49:53,50.9
10:49:54,50.9
10:49:55,50.9
10:49:56,50.9
10:49:57,51.4
10:49:58,51.4
10:49:59,51.4
10:50:00,51.5
10:50:01,51.5
10:50:02,51.5
10:50:03,51.5
10:50:04,51.5
10:50:05,51.4
10:50:06,51.4
10:50:07,51.4
10:50:08,51.4
10:50:09,51.4
10:50:10,51.4
10:50:11,51.2
10:50:12,51.0
10:50:13,51.1
10:50:14,51.1
10:50:15,51.1
10:50:16,51.1
10:50:17,51.1
10:50:18,51.2
10:50:19,51.2
10:50:20,51.2
10:50:21,51.2
10:50:22,51.2
10:50:23,51.2
10:50:24,51.2
10:50:25,51.2
10:50:26,51.2
10:50:27,51.0
10:50:28,51.0
10:50:29,51.0
10:50:30,50.9
10:50:31,50.9
10:50:32,50.9
10:50:33,50.9
10:50:34,50.8
10:50:35,50.8
10:50:36,50.8
10:50:37,51.1
10:50:38,51.1
10:50:39,51.1
10:50:40,51.3
10:50:41,51.2
10:50:42,51.2
10:50:43,51.2
10:50:44,51.2
10:50:45,51.2
10:50:46,51.1
10:50:47,51.1
10:50:48,51.1
10:50:49,51.1
10:50:50,51.2
10:50:51,51.1
10:50:52,51.1
10:50:53,51.1
10:50:54,51.1
10:50:55,51.1
